,tournament_name,player_name,position,score,r1,r2,r3,r4,fedex_cup_points,official_money
0,The Players Championship,Scottie Scheffler,1,-20,67,69,68,64,750.000,"$4,500,000.00"
1,The Players Championship,Xander Schauffele,T2,-19,65,69,65,70,358.333,"$1,891,666.67"
2,The Players Championship,Wyndham Clark,T2,-19,65,65,70,69,358.333,"$1,891,666.67"
3,The Players Championship,Brian Harman,T2,-19,72,65,64,68,358.333,"$1,891,666.67"
4,The Players Championship,Matt Fitzpatrick,5,-16,66,69,68,69,300.000,"$1,025,000.00"
5,The Players Championship,Hideki Matsuyama,T6,-15,69,69,68,67,262.500,"$875,000.00"
6,The Players Championship,Si Woo Kim,T6,-15,70,71,68,64,262.500,"$875,000.00"
7,The Players Championship,Ludvig Ã…berg,8,-14,67,73,67,67,225.000,"$781,250.00"
8,The Players Championship,Sahith Theegala,T9,-13,70,67,67,71,187.500,"$706,250.00"
9,The Players Championship,Maverick McNealy,T9,-13,67,68,68,72,187.500,"$706,250.00"
10,The Players Championship,Taylor Montgomery,T11,-12,68,70,68,70,160.000,"$606,250.00"
11,The Players Championship,Joel Dahmen,T11,-12,74,67,67,68,160.000,"$606,250.00"
12,The Players Championship,Nate Lashley,T13,-11,68,70,67,72,135.000,"$489,583.33"
13,The Players Championship,Corey Conners,T13,-11,68,68,73,68,135.000,"$489,583.33"
14,The Players Championship,Christiaan Bezuidenhout,T13,-11,69,70,68,70,135.000,"$489,583.33"
15,The Players Championship,Sepp Straka,T16,-10,68,70,70,70,115.000,"$406,250.00"
16,The Players Championship,Doug Ghim,T16,-10,71,70,66,71,115.000,"$406,250.00"
17,The Players Championship,Sam Ryder,T16,-10,70,69,70,69,115.000,"$406,250.00"
18,The Players Championship,Adam Schenk,T19,-9,71,71,66,71,90.000,"$285,535.71"
19,The Players Championship,Harris English,T19,-9,69,69,75,66,90.000,"$285,535.71"
20,The Players Championship,Kurt Kitayama,T19,-9,70,71,71,67,90.000,"$285,535.71"
21,The Players Championship,Dylan Wu,T19,-9,69,74,69,67,90.000,"$285,535.71"
22,The Players Championship,Rory McIlroy,T19,-9,65,73,69,72,90.000,"$285,535.71"
23,The Players Championship,Alex Noren,T19,-9,71,70,70,68,90.000,"$285,535.71"
24,The Players Championship,Shane Lowry,T19,-9,71,70,72,66,90.000,"$285,535.71"
25,The Players Championship,Matti Schmid,T26,-8,68,68,72,72,60.000,"$186,250.00"
26,The Players Championship,Mackenzie Hughes,T26,-8,70,73,69,68,60.000,"$186,250.00"
27,The Players Championship,Nick Taylor,T26,-8,66,68,76,70,60.000,"$186,250.00"
28,The Players Championship,Chris Kirk,T26,-8,68,70,73,69,60.000,"$186,250.00"
29,The Players Championship,Matthew NeSmith,T26,-8,73,67,68,72,60.000,"$186,250.00"
30,The Players Championship,Mark Hubbard,T31,-7,68,73,72,68,37.500,"$152,812.50"
31,The Players Championship,Ben Martin,T31,-7,72,71,71,67,37.500,"$152,812.50"
32,The Players Championship,Taylor Moore,T31,-7,72,68,70,71,37.500,"$152,812.50"
33,The Players Championship,Sungjae Im,T31,-7,70,72,69,70,37.500,"$152,812.50"
34,The Players Championship,Tommy Fleetwood,T35,-6,70,72,69,71,22.107,"$119,285.71"
35,The Players Championship,Aaron Rai,T35,-6,71,72,68,71,22.107,"$119,285.71"
36,The Players Championship,Jimmy Stanger,T35,-6,69,73,71,69,22.107,"$119,285.71"
37,The Players Championship,Denny McCarthy,T35,-6,71,71,71,69,22.107,"$119,285.71"
38,The Players Championship,Lee Hodges,T35,-6,69,70,72,71,22.107,"$119,285.71"
39,The Players Championship,Jason Day,T35,-6,67,71,72,72,22.107,"$119,285.71"
40,The Players Championship,Brice Garnett,T35,-6,71,72,67,72,22.107,"$119,285.71"
41,The Players Championship,Grayson Murray,T42,-5,73,69,77,64,18.000,"$93,750.00"
42,The Players Championship,David Lipsky,T42,-5,73,70,69,71,18.000,"$93,750.00"
43,The Players Championship,C.T. Pan,T42,-5,69,68,70,76,18.000,"$93,750.00"
44,The Players Championship,Jake Knapp,T45,-4,71,72,68,73,14.063,"$70,062.50"
45,The Players Championship,Tony Finau,T45,-4,69,72,69,74,14.063,"$70,062.50"
46,The Players Championship,Ryan Moore,T45,-4,70,69,73,72,14.063,"$70,062.50"
47,The Players Championship,Adam Scott,T45,-4,70,72,71,71,14.063,"$70,062.50"
48,The Players Championship,Austin Eckroat,T45,-4,71,69,68,76,14.063,"$70,062.50"
49,The Players Championship,Sam Burns,T45,-4,73,70,65,76,14.063,"$70,062.50"
50,The Players Championship,J.T. Poston,T45,-4,69,68,69,78,14.063,"$70,062.50"
51,The Players Championship,Collin Morikawa,T45,-4,71,69,70,74,14.063,"$70,062.50"
52,The Players Championship,Andrew Putnam,53,-3,69,74,72,70,11.500,"$60,250.00"
53,The Players Championship,Zac Blair,T54,-2,73,70,70,73,9.344,"$57,500.00"
54,The Players Championship,Tom Hoge,T54,-2,67,69,75,75,9.344,"$57,500.00"
55,The Players Championship,Cameron Young,T54,-2,70,69,73,74,9.344,"$57,500.00"
56,The Players Championship,Emiliano Grillo,T54,-2,69,71,69,77,9.344,"$57,500.00"
57,The Players Championship,Min Woo Lee,T54,-2,73,70,73,70,9.344,"$57,500.00"
58,The Players Championship,Martin Laird,T54,-2,70,73,70,73,9.344,"$57,500.00"
59,The Players Championship,Sami Valimaki,T54,-2,71,72,69,74,9.344,"$57,500.00"
60,The Players Championship,Francesco Molinari,T54,-2,72,69,73,72,9.344,"$57,500.00"
61,The Players Championship,Viktor Hovland,T62,-1,73,69,71,74,7.625,"$55,000.00"
62,The Players Championship,Thomas Detry,T62,-1,71,72,74,70,7.625,"$55,000.00"
63,The Players Championship,Tyler Duncan,T64,E,67,75,72,74,6.875,"$53,500.00"
64,The Players Championship,J.J. Spaun,T64,E,72,71,70,75,6.875,"$53,500.00"
65,The Players Championship,Max Homa,T64,E,68,75,74,71,6.875,"$53,500.00"
66,The Players Championship,Seamus Power,T64,E,72,69,78,69,6.875,"$53,500.00"
67,The Players Championship,Chan Kim,T68,+2,70,71,70,79,5.950,"$51,500.00"
68,The Players Championship,Patrick Cantlay,T68,+2,72,70,73,75,5.950,"$51,500.00"
69,The Players Championship,Peter Malnati,T68,+2,70,73,66,81,5.950,"$51,500.00"
70,The Players Championship,Rickie Fowler,T68,+2,74,69,76,71,5.950,"$51,500.00"
71,The Players Championship,Gary Woodland,72,+3,70,73,74,74,5.550,"$50,250.00"
72,The Players Championship,Keith Mitchell,73,+4,69,71,76,76,5.400,"$49,750.00"
